retention_rate,total_cost,productivity,net_value
0.6660432871742115,2499158.8108599996,19492.07716637465,16992.91835551465
0.6645811508167567,2494194.30413,19464.58793691195,16970.39363278195
0.6662502317506016,2429118.51236,19088.614798051523,16659.496285691523
0.6611852736169257,2478665.4629100002,19102.49113948126,16623.825676571258
0.6635790406445716,2473733.10056,19175.252828220695,16701.519727660696
0.6635409648939314,2410326.0149600003,18827.460686952407,16417.134671992408
0.6698323030104805,2496416.6520100003,19355.059646690985,16858.642994680984
0.6693114944637591,2441926.76322,19072.29689358733,16630.37013036733
0.6691660393893699,2444000.7844700003,19227.37094801422,16783.37016354422
0.6681236869278071,2517164.50661,19570.08992505273,17052.92541844273
0.6768005183689026,2484099.22536,19716.164329226172,17232.06510386617
0.6628298501985112,2433199.70438,18999.988028845793,16566.788324465793
0.6671630000900033,2494994.66438,19524.207950735316,17029.213286355316
0.6648893167670059,2460271.64419,19128.522862996968,16668.251218806967
0.6641197490329099,2511682.2721800003,19385.60701834511,16873.924746165107
0.6690337736161768,2477653.8672900004,19349.868191415197,16872.214324125198
0.662874576363321,2440606.15889,19131.097879601773,16690.491720711772
0.6669076144296503,2420533.81094,19009.77583854404,16589.24202760404
0.6694887922325843,2563478.70068,19675.39604815776,17111.91734747776
0.6679118535049324,2496109.58741,19440.565342498398,16944.4557550884
0.6602581630681521,2464754.79225,19234.959873442323,16770.205081192325
0.6655837881281532,2474361.9120199997,19326.53636244913,16852.17445042913
0.6632319727570423,2512941.2028900003,19445.872977756015,16932.931774866014
0.6715459309134869,2510672.1732,19671.54651421401,17160.87434101401
0.6708391987068795,2503153.20903,19424.569589793296,16921.416380763298
0.6749195225302302,2524295.12249,19626.39813921832,17102.10301672832
0.6728938666373669,2466734.28067,19553.70473570842,17086.97045503842
0.6674617835336356,2459927.5614300002,19222.33591414674,16762.40835271674
0.671095434413584,2500055.9954200005,19393.525818343318,16893.469822923318
0.6657450472198737,2472117.24586,19127.56585107807,16655.44860521807
0.6579291591692449,2376047.78151,18784.93441785943,16408.88663634943
0.6613228645537682,2445870.1458900003,19076.22497950106,16630.35483361106
0.6765847419496452,2509854.09627,19714.343032825018,17204.48893655502
0.6635017957433336,2439721.8589200005,19086.537487673206,16646.815628753204
0.6710358647806941,2541377.87862,19811.280534097954,17269.902655477956
0.6673405665059472,2460255.0466400003,19231.431348805134,16771.176302165135
0.6640834948307637,2439832.2987800003,19117.967421756024,16678.135122976026
0.6656351457917367,2505329.2370100003,19396.943513508377,16891.614276498378
0.673950945510602,2454298.99327,19370.800335976855,16916.501342706855
0.6724763690542518,2490610.2601,19457.61255987449,16967.00229977449
0.6734210833540683,2510603.54986,19610.737256596243,17100.133706736244
0.6710103818381477,2526047.8997299997,19603.087090908062,17077.03919117806
0.6737815963148427,2460760.30189,19388.196031248375,16927.435729358374
0.6624723498138335,2448064.35848,18921.378187208862,16473.31382872886
0.6726698160994479,2476969.6863200003,19481.530755426647,17004.561069106647
0.6647566490794954,2458941.83959,19228.411224108873,16769.469384518874
0.6715363967397345,2491899.8161700005,19448.73309347478,16956.83327730478
0.6649207638620915,2450867.93593,19254.07128957879,16803.20335364879
0.6748175096863192,2504501.33451,19649.89473020716,17145.39339569716
0.6661006351927167,2519725.70725,19585.924066921805,17066.198359671806
0.6692120591399511,2449696.04213,19199.224961360276,16749.528919230277
0.6632953472772908,2397300.3970600003,18943.401979909457,16546.101582849456
0.6681556058605108,2495964.7127900003,19437.90227628804,16941.937563498042
0.662136566894586,2453615.01505,19210.669480461613,16757.054465411613
0.6678133817749179,2443592.5839800006,19179.81375864203,16736.22117466203
0.6689463823361859,2464588.27663,19296.27372088712,16831.68544425712
0.6720391593465538,2554203.48717,19722.643271932495,17168.439784762493
0.6592426076461572,2395461.40019,18812.568400783362,16417.10700059336
0.6647995704593616,2420181.37027,19040.26896781685,16620.08759754685
0.6746629458648705,2560434.03387,19839.26949236587,17278.835458495872
